MEMORY_vs_GC_UP	GC_vs_MEMORY_UP	NAIVE_vs_GC_UP	GC_vs_NAIVE_UP	MEMORY_vs_NAIVE_UP	NAIVE_vs_MEMORY_UP
ADAM28	AFF2	ABCA17P	AAMP	ABCA6	ABCB1
ADPGK	AK3	ABCB1	ABHD8	ACSL1	ABCB4
AL159141.1	ALYREF	ABCB4	ACTR2	AFDN	ADAMTSL2
AMN1	AMZ2P1	ADAM28	AK3	AHNAK	ADGRG3
ANKRD6	ANAPC15	ADAM8	ANAPC15	ALOX5AP	ADPRM
ANTXR2	ANKRD36BP2	AL159141.1	ANP32B	ANTXR2	AFF1
APMAP	APOLD1	ANKRD11	ANP32E	ANXA2	ALDH1A2
ARHGAP24	APOM	ANTXR2	AP3S2	APH1B	AP1B1
ARHGAP25	ARHGAP28	APPL1	APOM	ARL2BP	APLP2
ASAH1	ARHGAP33	ARAP2	ARHGEF9	ARNTL	ARHGEF10
ATF6	ASB13	ARHGAP15	ARL2BP	ARSA	ARHGEF5
ATG14	ASRGL1	ARHGAP27	ASB13	ASCL2	ARPC4
ATP13A5	ATAD2	AUTS2	ASF1B	ATP2B4	ATP6V0A1
ATXN1	ATP2A2	BMI1	ASPH	ATXN1	BACH2
BACH1	BACH2	BTLA	ATP5MG	BHLHE41	BATF2
BCL9L	BASP1	BTN3A1	ATP6V1A	BMPR1A	BIRC3
BMI1	BCAT1	BTN3A2	AZIN1	BTNL9	BRS3
BTLA	BLOC1S6	BTN3A3	BAIAP2L1	C1RL	C16orf74
C14orf28	C12orf75	CAMK1D	BCAR3	C3orf14	C1orf53
C1orf56	C5orf34	CASP1	BCAS4	CALHM2	CAMK2D
CAMK1D	CALML4	CAST	BCL6	CALM2	CCN6
CAPS	CAMK2D	CBX7	BIK	CAPN2	CD1A
CCND2	CCDC117	CCDC50	BTF3	CBWD1	CD200
CCR6	CCDC18	CCR6	BUB1B	CCDC126	CD72
CCR7	CCDC88A	CD46	C12orf49	CCDC141	CD79B
CD46	CD79B	CD47	C2orf88	CCDC85C	CD83
CD48	CD81	CD55	CALM2	CCR1	CEACAM7
CD55	CDC20	CD63	CASP3	CD2	CEP85L
CD99L2	CDC7	CD69	CBWD1	CD27	CEPT1
CDC42SE2	CDCA2	CD72	CCDC167	CD58	CHPT1
CDKN1A	CDCA5	CD83	CCNB2	CD80	CLIP3
CFLAR	CENPF	CEACAM1	CCNE1	CD81	CRIP3
CHD1	CENPM	CFAP97	CD38	CD82	CRY1
CLIC3	CEP152	CHD1	CD81	CDC42EP3	CYFIP2
CLIP1	CHAMP1	CHD2	CDCA4	CDC42SE2	DDHD1
COL4A3	CHEK1	CHD7	CDCA5	CDKN2C	DDIT3
CR1	CLIC4	CHKB	CDCA7	CEBPG	DEF8
CRTAP	COP1	CHML	CENPE	CIDEB	DGKD
CRTC3	CSK	CISH	CENPM	CISD3	DIP2C
CSNK1G3	CTTN	CLEC2B	CEP152	CLIP1	DNASE1L3
CTC1	DBI	CR1	CHAMP1	CLIP2	DPP6
CTNND1	DDHD1	CSNK1D	CHEK1	CLIP4	DTX1
CTNS	DEPDC1B	CTC1	CHIC2	COL4A4	DUSP6
DGKA	DHX15	CTNND1	CIDEA	COMTD1	EDN1
DGKE	DMD	CYTH4	CKAP5	CORO1B	EHD4
DNAJC16	DNASE1	DCTD	CLIC4	CPNE5	ENC1
DOCK10	DNMT1	DDX60	CTTN	CPXM1	FAM126A
DPH5	DPY19L2	DGKA	CUL3	CRACR2B	FAM53B
DRAM2	DTL	DOCK10	DAAM1	CREBL2	FBXW4P1
DUSP1	E2F3	DPH5	DENND1B	CRTAP	FCER2
DUSP22	EHD4	DPY19L1P1	DHFR	CRYBG1	FCRL1
EFEMP2	EIF3A	DTX3L	DPY19L2	CRYGB	FDFT1
EGR3	EIF4H	DUSP1	DTL	CTSH	FIG4
EIF4A2	ELAVL1	DYRK2	EDRF1	DAAM1	FNBP1L
EML4	ENPP3	EFEMP2	EED	DBH-AS1	FNBP4
ENTPD1	ESRRB	EMP3	EIF2D	DCAF17	FOXP1
FAM89B	FAM76B	ENC1	EIPR1	DCAKD	FOXP1-IT1
FCGR2C	FBXO10	ESYT1	ENPP3	DENND1B	FPGS
FCRL4	FBXO43	FAM117A	ESPL1	DGKE	GALNT2
FNDC3A	FGF20	FAM160B2	EXOSC1	DND1	GALNT6
FOSB	G3BP1	FCER2	FAM106A	EFHC1	GAS2L1
GALNT1	GALNT14	FCGR2C	FBXO30	EMP3	GATA2-AS1
GALNT10	GCSAM	FNDC3A	FBXO5	ENTPD4	GCA
GOLGA8A	GINS1	FXYD5	FHOD3	FAIM	GIPC2
GPR183	GNA13	GABBR1	GABPB1	FAS	GK
GPR65	GPR160	GALNT2	GAPDH	FGD6	GNB4
GVINP1	GPR84	GAPT	GCSAM	FOLR1	GNG11
HCP5	GSTA4	GARS-DT	GFPT1	GCLC	GPRC6A
HERPUD2	GSTZ1	GOLGA8A	GINS1	GFOD1	HECTD4
HLA-F	HACD2	GPR183	GINS3	GFPT1	HIF3A
HSPA6	HELLS	GSAP	GLRA1	GPR183	HSF5
IER5	HMGB2	GVINP1	GMCL1	GPR34	IFI44
IFNGR1	HNRNPA1	HERC6	GNA13	GRAMD1C	IGHM
IL18BP	HNRNPK	HES1	GPER1	GRAMD4	IGLV6-57
IL23A	HPRT1	HEXB	GRHPR	GSTK1	IL4R
IL27RA	HSPA2	HEXD	GRPEL2	GUCY2C	IL6
IQCM	IRF8	HHEX	GSTA4	HERPUD1	IPO13
IRF2BP2	KIF20A	HK2	H2AX	HSPA6	KBTBD11
ISCU	KIF4A	HLA-A	H2AZ1	IER5	KCNB2
ITGB1	KLHL5	IFFO2	HELLS	IGHA1	KIAA0040
ITIH4	LMNB1	IFI16	HES6	IGSF10	LAIR1
ITM2B	LMO2	IFIT2	HMGN3	IL2RB	LARS1
ITPK1	LRIG1	IFITM3	HNRNPC	IL6R	LCTL
JAM3	LRMP	IFNGR1	HNRNPD	IMPDH1	LIMS2
KAT2A	MACROH2A1	IL13RA1	HRK	INPP4A	LINC00926
KLF2	MAP2	IL16	HSBP1	ITGAM	LINC01141
KLHDC1	MAP4K4	INO80D	HSPA2	ITGB1	LYL1
