IgM_VS_IgA_MEMORY	IgA_VS_IgM_MEMORY	IgG_IgA_MEMORY_VS_NAIVE	NAIVE_VS_IgG_IgA_MEMORY	IgM_MEMORY_VS_NAIVE	NAIVE_VS_IgM_MEMORY
AAK1	ABO	ACAA2	ABCB4	ABCC4	ABCB1
ABCA12	ADK	ACAT1	ABHD4	ACAT1	ABHD4
ABCA7	AGGF1	ACP5	AC005261.1	ACP5	ACVR2B
ABCB4	AIM2	ACTG1	ACBD4	ACTG1	ADARB1
ACBD4	AIMP2	AGBL5	ACE2	AHNAK	AGGF1
ACHE	ALG9	AHNAK	ACVR2B-AS1	AIM2	ANKRD55
AFM	ALKBH1	AIFM1	ADARB1	ALDOA	AOX1
AGAP2	ANKRD55	AIM2	AFF4	AMPD2	APLP2
AL159141.1	APOL3	AMPD2	AGO4	ANXA2	ARIH1
ALOX15B	ARHGAP26	ANXA2	AMT	ANXA2P2	ASAP2
ALOX5AP	ARID5B	ANXA2P2	ANXA9	AP3S1	ASB1
ARHGAP24	ATP2B4	ANXA5	AOX1	ARHGAP25	ATP11A
ARL4C	ATP6V1D	AP3S1	APLP2	ATP1A1	ATP6V0A1
ATF2	B3GALT4	APOL3	APOOL	ATP5F1A	AURKC
BBS7	BAIAP3	ARHGAP25	AQP9	ATP5IF1	BACE1
BCL2L2	BMP8B	ARPC1B	ATP6V0A1	BHLHE40	BBS4
BCL7A	C19orf54	ARPC5L	BACH2	BHLHE41	BCL7A
BCL7C	C9orf116	ATP1A1	BCL7A	CAB39	CA14
BIN3	CABP1	ATP2B4	BST1	CAPG	CCDC181
BRWD1	CAMSAP2	ATP5F1A	BTG1	CAPN2	CCP110
BTG1	CBR3	BAIAP3	C6orf120	CBFA2T3	CD200
BTG2	CCDC88C	BHLHE40	CACNG4	CCND2	CD302
C1R	CD247	BHLHE41	CCDC181	CCNG1	CDK19
CAMTA2	CD86	BIN1	CCP110	CCT5	CEMIP2
CBFA2T2	CDK17	BLVRB	CD22	CD1C	CHAT
CBL	CETN1	CAB39	CD72	CD1D	CLCN4
CBLB	CFAP45	CAPG	CEMIP2	CD24	CORO2B
CD1C	CHEK1	CAPN2	CHAT	CD27	CXCL1
CD1D	CHRNA4	CBR3	CHML	CD58	CXCL13
CD72	CMAHP	CCND2	CHMP2B	CD70	CXCR4
CD79B	COCH	CCNG1	CLPS	CD82	CYB561
CD84	COL21A1	CCT5	CORO2B	CDV3	CYP2C18
CDK3	CPLX2	CD247	CR2	CKAP4	CYSLTR2
CELF1	CRABP1	CD27	CXCR4	CLDND1	DBNDD1
CHRNA1	CRIP2	CD58	CYP2A7P1	CLUH	DCAF17
CLMN	CST7	CD70	DBNDD1	CNP	DDR1
COQ8A	DAAM1	CD82	DCLK2	COBLL1	DDX28
CREB3L2	DAP	CD86	DDR1	COCH	DGKD
CRYGC	DCTN1	CD99	DGCR11	COL4A3	DNMBP
CSGALNACT1	DENND3	CDV3	DGKD	COTL1	DOCK5
CSTF2T	DGKQ	CFLAR	DHX34	CRIP1	DPYD
DAZAP2	DLL3	CLIC1	DIO1	CSGALNACT1	DSP
DCLK2	DYRK2	COCH	DIRAS3	CTSA	DTX4
DDX49	ECT2	COL4A3	DIS3	CTSC	EDNRA
DEPDC5	EGLN2	COTL1	DNASE1L3	CTSH	EIF1AY
DHX35	EIF2AK3	CRIP1	DPPA4	CUTA	EPAS1
DICER1	EOGT	CRIP2	DPYD	CYCS	ESS2
DLEU1	EPHA4	CSGALNACT1	DSP	DAAM1	EXOC7
DNASE1L3	ERC2-IT1	CTSA	DSTYK	DCPS	EXOG
DNPH1	EVI2A	CTSH	DTX4	DDAH2	FAM171A1
DTX4	EXT2	DAAM1	EHD4	DECR1	FAM53B
DUSP2	FAIM	DAP	EPHA3	DEPDC5	FAM8A1
DUSP5	FAM131A	DDAH2	EXOG	DNAJC7	FARP1
DYNC2H1	FANCE	DENND1B	F2	DNAJC9	FAT1
EIF2AK2	FANCG	DEPDC5	FAM53B	DOCK10	FBXO28
EIF2B3	FARS2	DGLUCY	FAM8A1	DUSP2	FBXO4
EIF4G3	FAS	DOCK10	FCER1A	ECHDC2	FCER1A
EIF5A	FOXE3	DPYSL2	FCER2	EEF2	FCER1G
ENAH	FUT7	DYNLL1	FMO5	EGLN1	FCGBP
EPHA2	GCHFR	EBI3	FOXO1	EHD1	FMO5
ESRRA	GCLM	ECHDC2	GABBR1	EHD3	FOXO1
FABP2	GDPD5	EHD1	GALNT3	EIF2AK2	GABBR1
FCGR2B	GNB1L	EHD3	GCNT1	ELOVL1	GALNT3
FCGR2C	GPR12	EIF3A	GPRASP1	ERO1A	GALNT6
FCRL2	GRAMD1C	ELOVL1	GRK4	EVI2A	GCNT1
FGF20	GSTK1	ENO2	GTF3C4	FABP5	GOLGA6A
FGL2	HKDC1	EVI2A	H2AC6	FAM102A	GPR12
FIG4	HMGN5	FAIM	HEBP1	FCGR2A	GSTA4
FKTN	HOMER3	FAM102A	HYAL1	FH	GTF3C4
FZD5	HOPX	FBXO2	IAPP	FUT8	H1-10
GAS2	HOXC4	FKBP11	IFNGR1	GAB2	HCFC2
GGA1	HRAS	FUT7	IGHD	GAMT	HCN4
GGA2	ID2	GAPDH	IGHM	GAPDH	HEYL
GNG11	IGHA1	GARS1	IL1RAPL2	GBAP1	HKDC1
GPM6A	IGSF1	GBAP1	IL21R	GGA1	HMGCS1
GPR18	IL13RA1	GCLC	IL4R	GNG11	IGHD
GRAP	INO80B	GOLPH3	INTS6	GPM6A	IL13RA1
GRIK3	ITGB1	GRAMD1C	INTS9	GPR183	IL21R
GRK4	JPT2	GRAP	IRS2	GRAP	IL4R
GRWD1	KCNAB2	GSTK1	KCTD20	GRN	IL9
GTF3C2	KCTD7	HCP5	KLF9	HCCS	JPH3
H2AC6	KIAA1614	HOMER3	KLHL35	HLA-B	JPT2
H2BC12	KLF7	HSPA6	KMO	HSD17B10	KCNJ14
H3-3B	KRT14	HSPA8	LAIR1	HSPA6	KCNJ9
HERC2	LDHC	IFI30	LAMC1	HTATIP2	KIFBP
HES1	LGALS3	IGHA1	LARGE1	IFI30	KIR2DL5A
HMOX1	LGMN	ISG15	LDOC1	IFI6	KLF7
IFI6	LMO2	ITGAM	LRCH1	IGKV3-20	KLHL35
IFNA1	MAF	ITGB1	LRRC23	IL10RA	KRT2
IFNGR1	MAFF	ITGB7	LYST	ING1	LAIR1
IGHD	MARC2	ITM2C	MAGEB1	ITGAM	LARGE1
IGHM	MFSD10	JCHAIN	MAOB	ITGB1	LCOR
IL10RA	MIA	JPT1	MAP11	ITGB7	LDHC
IL1RAPL2	MICA	KCNN4	MARCHF3	ITM2C	LMO2
IL2	MICU2	KCTD7	MFAP5	JAM3	LRCH1
IL6	MOCS1	KLF10	MGAM	KCNG2	LUZP4
ING1	MYCN	KMT5A	MITF	KCNN4	LYST
INTS9	MYH7	LDHB	MMP17	KLF10	MAB21L1
JAK2	MYO1F	LGALS1	MMP2	KPNA2	MARCHF3
KCNK12	MYOC	LIME1	MTMR9	LDHB	MAVS
KIAA0040	NAALADL1	LMO4	MYEF2	LDLRAP1	MCTP2
KMO	NIBAN1	LPXN	MYO15B	LGALS1	MMP17
KMT2A	NINL	MARCKS	NCK2	LMO4	MST1
KNTC1	NOTCH3	MFSD10	NEIL1	LPXN	NEIL1
KPNA5	NR2F6	MKKS	NIPBL	LY96	NID1
KRT3	NT5E	MNDA	NKX3-1	M6PR	NOD1
LEPROTL1	NUDT4	MTHFD1	NPY	MAP4K1	NRF1
LPAR2	NUP133	MVP	NR1H3	MARCKS	NRGN
LRIG1	OAZ1	MYO1F	NR3C2	MBIP	OGFOD3
MAGEF1	OCLN	MZT2A	OBSCN	MCM5	P2RX1
MAK16	PCDHGB5	NANS	OLFML2A	MDFIC	P2RY14
MAP3K8	PCOLCE2	NCF4	OSBP	MNDA	PARG
MBOAT7	PDGFD	NDUFB3	OSM	MRPL40	PCDH9
MECR	PDK4	NDUFB7	P2RX1	MVP	PDE1B
MEPCE	PES1	NDUFS6	P2RY14	NANS	PDP1
METTL16	PIK3R5	NIBAN1	PAIP2B	NCF4	PIK3C2B
MGAM	PIMREG	NQO2	PBX3	NQO2	PLK2
MRNIP	PIN1P1	NT5C	PCDH8	NRBP1	PLPBP
MTFR1	PMS2P11	ORMDL2	PCDH9	OPTN	PRCP
MYOZ2	PODXL	PANK2	PECAM1	PAPSS1	PRDM10
N4BP2L1	POF1B	PAPSS1	PEG10	PBXIP1	PSMB2
NFX1	POFUT2	PLAAT4	PER1	PDCD5	PVT1
