GSE38697_DARK_VS_LIGHT	GSE38697_LIGHT_VS_DARK	GSE12845_DARKZONE_GC_TONSIL_VS_NAIVE	GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL	GSE12845_DARKZONE_GC_TONSIL_VS_PRE_GC	GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL
ADAM22	ABHD12B	AC092279.1	ACAN	ABCA11P	ACP5
AGAP3	ABRA	AGPS	ADRB1	ABCC1	ADAM8
ALDH1A1	ACTR10	ALDOA	AKAP13	ABT1	ADAMDEC1
ALDOB	AGA	ANKRD26	AKAP6	ACTR2	AHNAK
ALK	AGXT	ANP32A	AKT2	ALDH2	ALDOC
ALPK2	AIM2	ARF3	AMT	ALOX5AP	APBA2
AMER2	ALG13	ARL2BP	ANKRD11	AMZ2	APOBEC3C
ANK1	ANAPC10	ASH2L	ANKRD36B	ANP32B	APOC1
ARID5B	AP1S2	ATIC	APBA3	ARFGEF1	APRT
ATP6V1C2	AP1S3	ATP5F1B	APH1B	ARPC1A	ARID5A
B3GNT7	AP3S1	BAZ2B	APRT	ATP5F1B	ARMCX1
B3GNT9	APBB1IP	BCAS4	AQP7	ATP5MG	BANK1
BOC	APEX2	BCL2L13	ARHGEF10	ATP5MPL	BCAP31
BPIFC	ARHGAP27	BCL2L2	ARID3A	BACH2	BLK
C19orf81	ARHGEF2	CCND3	ARMH3	BAZ1B	BRD3
C1orf115	ASNSD1	CCT7	ATF3	BBS1	BTN3A3
C1QTNF2	ATP8B4	CD3D	ATF6B	BCL11B	C1orf54
C5orf52	ATXN1	CD59	ATOH1	BCL2L2	CACNA2D2
C9orf131	AUH	CDK19	AVPI1	BCL7A	CASP1
CALB1	B3GNT2	CDK7	BBX	BLM	CCND2
CATSPERZ	BCL10	CENPI	BHLHE40	BLOC1S1	CCR6
CBFA2T3	BTD	CEP350	BSDC1	BTAF1	CCR7
CCN1	BYSL	CFAP298	C1orf115	C19orf53	CD14
CD300C	C1D	CLCN3	CARD10	C1GALT1C1	CD200
CDK20	C5orf63	CLIP2	CASP2	C2orf49	CD44
CDRT4	CALHM2	CMAS	CASP8	C5AR2	CD72
CES2	CAMKMT	CMC4	CCDC130	CAD	CHI3L2
CHRNA5	CARHSP1	CNIH1	CCDC87	CD27	CHST12
CLDN18	CATSPER2	CNOT8	CCN2	CD3D	CLEC2B
