GSE9650 Chronic vs acute LCMV-specific CD8 T cells,GSE41867 Chronic-acute CD8+ Up,GSE41867 Chronic-acute CD8+ Down
Sept4,Trgv2,Wfikkn2
2810417H13Rik,Tcrg-V1,Il7r
Acadl,Tcrg-V6,Yes1
Ahr,Ociad2,Dmrta1
Alcam,Tox,Tnfrsf26
Aldh2,Setbp1,Klrb1c
Ankrd28,Mki67,Satb1
Anln,Casc5,Mir146
Art3,Areg,Snord33
Arxes2,Bub1,Il2ra
Asap1,LOC677008,Tespa1
Aspm,Shcbp1,Rnu2-10
Atpif1,Rgs16,Rcn3
Azin1,Cenpe,Tcf7
Bet1,Ccna2,Snord49a
Birc5,Ccnb2,Clybl
Bub1,Penk,Rpsa
Capzb,Nusap1,Kbtbd11
Car2,Pdcd1,Klrg1
Casp3,Fgl2,Nt5e
Cbx6,Top2a,Hspa1a
Ccdc93,Depdc1a,Gpr183
Ccl3,Ncapg,Klhl6
Ccnb1,Ifit1,Phpt1
Ccnb2,Kif4,Cmah
Ccr6,Prr11,Prss12
Ccrl2,Rtp4,Rpl29
Cd200,Clgn,Fgf13
Cd22,Ikzf2,Snord32a
Cd244,Lclat1,Fcgr2b
Cd83,Ifi27l2a,Snord57
Cd9,Mnda,1500011K16Rik
Cdc6,Nuf2,Snord1c
Cdca3,Ppwd1,Nhp2
Cdk1,Tlr7,Rnu7
Cela1,Kif15,Scarna17
Cenpa,Sgol2,Crtam
Chek1,Cxcl10,Dph5
Ckmt2,AI607873,Mrpl23
Coch,Lag3,Anxa1
Cpa3,Gm4956,Rpl7a
Cpeb2,Rsad2,Rplp1
Cpsf2,Mx2,Qpct
Cryl1,Cenpf,Ccr2
Csnk1d,Gm12253,Pdlim1
Ctla4,Eomes,Itgax
Ctsc,Ckap2,Itga1
Cxcl10,C330027C09Rik,Ptpn6
Cxcr5,Plod2,Il15
Cyth3,Igkv9-120,Tnfrsf22
D17H6S56E-5,Birc5,Gzmm
Ddit4,Ifi44,Snord58b
Ddx6,Pydc4,Prrg4
Dock7,Naip7,Rps2
E2f8,Eif2ak2,Slco3a1
Ect2,Ddx43,Snora24
Eea1,Il10,Ppp1r11
Egr2,Ska3,Rpl18
Enpp2,Ogfrl1,Cpne3
Entpd1,Myo9a,2410015M20Rik
Eomes,Ccnb1,Wwp1
Epcam,Mis18bp1,Phb
Ephx1,Gpx8,Yae1d1
Eps15,Kif14,Amica1
Ezh2,Tpx2,Gm8580
Fam3c,Bub1b,Cd2ap
Fasl,Ifit3,Emb
Fgl2,Tnfsf4,Slc9a9
Fignl1,Aspm,Cpm
Fxr1,Neil3,Fam105a
Gas2,Ncaph,Tmem154
Gem,Hmmr,Rplp0
Gjb2,Spc25,Aaed1
Gm3579,Stil,Camsap2
Gnao1,Cks1b,Lsm7
Gpd2,Prc1,Gm5424
Gpr56,Pbk,Rps6ka3
Gpr65,Phactr2,Gabarapl2
Gzma,Xaf1,Hsd17b10
Gzmb,Ncapg2,Tufm
Gzmk,Glp1r,Nme2
H2-Aa,Mastl,Utp14a
Hccs,Clspn,Dnajc15
Hif1a,Ifitm3,Ttc27
Hist1h1b,Spc24,Lef1
Hist1h2ao,Xcl1,Ctsw
Hist1h3f,Cd38,Cnga1
Hmgb3,Cdkn3,Rangrf
Hoxc6,Havcr2,Snord95
Ifi27l2a,Ceacam1,Parp8
Ifih1,Nap1l3,Tagap
Ifit1,Sgol1,Sap30bp
Ifit3,Spag5,Cdk4
Iigp1,Ifih1,Rps19-ps3
Il1r2,Isg20,Sidt1
Irf4,Eea1,Nsmce1
Irf8,Klra3,Erh
Irf9,2810417H13Rik,Pecam1
Isg15,Oasl2,Ppp1ca
Isg20,Ephx1,Sepp1
Itgav,Chek1,Fbl
Itih5,Brip1,Ascc1
Kif11,Arhgap11a,Hsd17b11
Kif23,Fbxo5,Rab5b
Kpna2,Ica1,Txnip
Lag3,Gpr137b-ps,Ift57
Lamp2,Cep55,Dvl2
Lat2,Ccdc109b,Aatf
Lat2,Casp4,Bccip
Lclat1,Rad51,Rfx3
Lgals3,Cd200r2,Eif2b5
Lgalsl,Ptpn13,Trim13
Lims1,E2f8,Wdr83os
Litaf,Trps1,Timm13
Ly75,Klra19,Nbn
Mad2l1,Cspp1,Leng1
Map3k1,Anln,Aip
Mdfic,Gxylt1,Churc1
Mki67,Chst2,Uqcc3
Mki67,Kif22,Lamtor2
Mllt3,Pon3,Tspan31
Mrpl2,Cdca3,Il18r1
Mrpl46,Ccnyl1,Cct6a
Mthfs,Rrm2,Prdx3
Myb,Mybl1,Dcbld2
Naca,Ccdc112,Eef1e1
Napsa,Ttk,Ano10
Ncaph,Glcci1,Snrpd2
Ndrg1,Art2a-ps,Rpl8
Nek2,Gbp9,Eif3g
Nfatc1,Cenph,Zfp639
Nr4a2,Prelid2,Foxp1
Nrip1,Srgap3,Nudt1
Nrp1,Gm12250,Cd72
Pawr,Art2b,Prmt5
Pbx3,Neb,Acss2
Pdcd1,Ticrr,Ssh2
Penk,Samsn1,Traf1
Perp,Gzmk,Fam213b
Pgd,Dlgap5,Gstk1
Plk1,Apobec2,Rabac1
Plk4,Gm4841,Cdk5rap3
Plscr1,Cd80,Mrpl11
Polr1a,Lmnb1,Ltb
Ppic,6330403K07Rik,Klrk1
Ppm1b,Ndc80,1110001J03Rik
Prc1,BC028528,Tsacc
Prdm1,Cd36,AB124611
Ptger2,Gpsm2,Ccs
Ptger4,Mlkl,Snord34
Ptpn13,Diap3,Rrp15
Rcn1,Kif5c,Commd6
Rgs16,Ube2c,Mrps18b
Rhoq,Tlr2,Hsd11b1
Rnf11,Stk39,Tagln2
Rnf19a,Tfdp2,Glo1
Rpa2,Fignl1,Fam213a
Rpa3,2610020H08Rik,Uhrf1bp1l
