GSE14308_INDUCED_VS_NATURAL_TREG_UP,GSE22527_ANTI_CD3_INVIVO_VS_UNTREATED_MOUSE_TREG_UP,GSE15659_RESTING_VS_ACTIVATED_TREG_UP,GSE15659_RESTING_VS_ACTIVATED_TREG_DN,GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP,GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN,GSE13306_RA_VS_UNTREATED_TREG_UP,GSE13306_RA_VS_UNTREATED_TREG_DN
> Genes up-regulated in comparison of induced regulatory T cell (Treg) versus natural regulatory T cell (Treg).,> Genes up-regulated in T reg following anti-CD3 in vivo treatment versus control.,> Genes up-regulated in comparison of resting regulatory T cell (Treg) versus activated regulatory T cell (Treg).,> Genes down-regulated in comparison of resting regulatory T cell (Treg) versus activated regulatory T cell (Treg).,> Genes up-regulated in comparison of CD25+ regulatory T cell (Treg) treated with IL4 [GeneID=3565] at day 7 versus CD25- T cells treated with IL4 [GeneID=3565] at day 7.,> Genes down-regulated in comparison of CD25+ regulatory T cell (Treg) treated with IL4 [GeneID=3565] at day 7 versus CD25- T cells treated with IL4 [GeneID=3565] at day 7.,> Genes up-regulated in comparison of regulatory T cell (Treg) treated with retinoic acid (tretinoin) [PubChem=444795] versus untreated regulatory T cell (Treg).,> Genes down-regulated in comparison of regulatory T cell (Treg) treated with retinoic acid (tretinoin) [PubChem=444795] versus untreated regulatory T cell (Treg).
ABCB10,ACE,ABCC8,CCN6,ABTB2,ACP5,AC055839.2,AK5
ACAA2,ACTR3,ABHD1,DENND2B,ACTR1B,ACSL1,ADGRL1,ALG14
ACLY,ADA,ACOT6,DESI2,AGK,ADAM9,ALKBH8,AMER3
ADAT1,ADRA1A,ACTR3B,EIPR1,ANXA6,ALDH2,ANKRD22,APH1B
ADIPOR2,ADRA2C,ADAMTSL1,EMC2,ASL,ALOX5,ARNT,ASPRV1
AMDHD2,ADRB2,AFAP1,EMC4,ATAD2,ARAP1,ASAP1,ASXL3
ARHGAP22,AEN,AK9,GET1,AURKA,ARL2BP,ASB2,AURKAIP1
ATG13,AFTPH,ALK,HACD4,AURKB,ARRB1,B3GALT2,BEX4
ATP5F1A,AGAP2,ALKBH7,LMNTD2-AS1,BIRC5,ASAH1,BBS2,BLNK
ATP5MC2,AGO3,ALOX12,NECTIN4,BLM,ATP1B1,BBS5,C16orf86
ATP6V0D1,AMBP,ALPK1,POLR2F,BRINP2,BASP1,BCLAF3,C19orf18
BBS10,AMD1,ALX4,POLR3F,BSPRY,BEX4,BEX1,C19orf25
BGN,AMMECR1,AMER1,POP7,BUB1,BLNK,BLMH,C19orf38
