GC,HDL,IFNb,IFNg,IFNg_TNF,IL10,IL13,IL4,IL4_upLPS,LA,LiA,OA,P3C,P3C_PGE2,PA,PGE2,SA,TNF,TNF_P3C,TNF_PGE2,TPP,TPP_IFNb,TPP_IFNb_IFNg,sLPS,sLPS_IC,sLPS_IFNg,upLPS,upLPS_IC
GLDN,LOC653352,C9orf38,GBP5,CSF1,HCFC1R1,ALOX15,ALOX15,ALOX15,MMP9,ACADVL,ACADVL,CTSL1,THBS1,MMP7,SPTLC3,MT1G,CCL5,LRG1,GBP5,RGS16,C1QTNF1,PAMR1,CXCR7,MYBPC3,GBP5,PCNX,SRPX
SRPX,YIPF6,ACY3,LOC400759,CCL5,SPOCD1,FOXQ1,FOXQ1,IL17RB,UCK2,PDK4,MT1G,CXCL1,SPTLC3,FAM82A2,LRP5,C15orf48,CD82,CXCR5,PCNX,NFS1,ZSWIM4,CXCR7,PTPRF,IL2RA,PCNX,ANG,TBL2
ZBTB16,MOGAT1,MGAT4B,CXCL9,C20orf123,P8,PPP1R14A,PPP1R14A,CCL26,FABP5,G6PD,MT1H,FJX1,LRP5,TIMP3,RBP1,METTL1,NFS1,ALPL,GBP4,CCL5,PCNX,PTPRF,FAM108C1,CXCR7,GCH1,RNASE4,LRG1
TBC1D16,PRPF40A,LOC732424,GBP1,IL2RG,ADAMTSL4,DHRS11,MAOA,WNT5A,MMP7,ACAA2,MARCKSL1,CXCL12,EMR3,HTRA4,PIP,MMP7,SLC5A3,CXCR7,RCN1,CYP27B1,FAM108C1,C1QTNF1,KIAA1199,PCNX,LOC399715,SPARC,MS4A6E
LOC647108,LOC642033,PITX2,GBP4,GBP4,CTSG,IL1R1,SOCS1,TGM2,ACADVL,MT1G,MT1X,C13orf18,VMO1,MCOLN3,ERRFI1,ACADVL,RCN1,NFS1,SLC5A3,GPR124,CXCR7,ZSWIM4,EMR3,MLLT6,MYBPC3,FTHL12,C1S
DAAM2,UHMK1,CNDP1,FAM26F,GPR124,CEACAM1,MAOA,HOMER2,GALNTL4,MT1G,AQP9,CPT1A,HIF1A,RBP1,ACADVL,THBS1,AQP9,ZSWIM4,FCAMR,CRISPLD2,SPARC,TRAF3IP2,FJX1,C1QTNF1,FAM108C1,MLLT6,CRISPLD2,DAAM2
TFCP2L1,MADCAM1,NRG2,CXCL10,CXCL9,GADD45G,CTNNAL1,RAB33A,FOXQ1,MARCKSL1,METTL1,ST14,ELL2,ERRFI1,METTL1,SERPINB2,RCN1,CTTN,G0S2,PRRX1,EDN1,KIAA1199,ILDR1,ZSWIM4,FPR2,PIM2,FTHL3,TGM2
ADAMTS2,ASXL2,HCRTR2,WARS,CYP27B1,NUPR1,RASL10A,GALNTL4,MAOA,PPAN,NRIP3,MT1A,PDK4,STAT4,FGR,SATB1,UCK2,MAP1LC3A,TSPYL3,ZSWIM4,F5,MAP1LC3A,FLJ42986,G0S2,CRISPLD2,SLC25A37,TSPAN3,LOC647108
CFH,GOLPH4,C6orf52,APOBEC3A,PPME1,ANXA11,ESPNL,CDR2L,LHFP,MATK,PLIN2,MT1F,RBP1,SLC16A10,TRIM9,PDK4,SELI,G0S2,PTPRF,APOL3,FAM119B,IL2RA,PDE4D,HIF1A,SLC25A37,APOL3,SLC11A1,GDF15
SESN1,LOC388458,GAGE1,SERPING1,GBP5,S100P,ACOT7,CTNNAL1,SOCS1,AQP9,C15orf48,PDK4,SLC16A10,SERINC2,MATK,SERINC2,MATK,CRISPLD2,PTGES,MRPS6,GUCY1B3,PTPRF,PCNX,MET,MAP1LC3A,SERPINB7,AQP9,BOK
