"GC","HDL","IFNb","IFNg","IFNg_TNF","IL10","IL13","IL4","IL4_upLPS","LA","LiA","OA","P3C","P3C_PGE2","PA","PGE2","SA","TNF","TNF_P3C","TNF_PGE2","TPP","TPP_IFNb","TPP_IFNb_IFNg","sLPS","sLPS_IC","sLPS_IFNg","upLPS","upLPS_IC"
"Gldn","Yipf6","Acy3","Gbp5","Csf1","Hcfc1r1","Alox15","Alox15","Alox15","Mmp9","Acadvl","Acadvl","Fjx1","Thbs1","Mmp7","Sptlc3","AA467197","Ccl5","Lrg1","Gbp5","Rgs16","C1qtnf1","Pamr1","Ptprf","Mybpc3","Gbp5","Ang2","Srpx"
"Srpx","Mogat1","Mgat4b","Cxcl9","Ccl5","Spocd1","Foxq1","Foxq1","Il17rb","Uck2","Pdk4","Marcksl1","Cxcl12","Sptlc3","Timp3","Lrp5","Mettl1","Cd82","Cxcr5","Slc5a3","Nfs1","Zswim4","Ptprf","C1qtnf1","Il2ra","Gch1","Rnase4","Tbl2"
"Zbtb16","Prpf40a","Cndp1","Cxcl10","Il2rg","Adamtsl4","Ppp1r14a","Ppp1r14a","Wnt5a","Fabp5","G6pdx","Cpt1a","Hif1a","Lrp5","Htra4","Rbp1","Mmp7","Nfs1","Alpl","Crispld2","Ccl5","Traf3ip2","C1qtnf1","Zswim4","Fpr2","Mybpc3","Sparc","Lrg1"
"Tbc1d16","Uhmk1","Nrg2","Serping1","Cxcl9","Ctsg","Dhrs11","Maoa","Tgm2","Mmp7","Acaa2","St14","Ell2","Vmo1","Mcoln3","Pip","Acadvl","Slc5a3","Nfs1","Prrx1","Cyp27b1","Map1lc3a","Zswim4","G0s2","Crispld2","Pim2","Crispld2","Ms4a6d"
"Daam2","Madcam1","Hcrtr2","Irf1","Cyp27b1","Psg23","Il1r1","Socs1","Foxq1","Acadvl","Aqp9","Pdk4","Pdk4","Rbp1","Acadvl","Errfi1","Aqp9","Zswim4","Fcamr","Zswim4","Sparc","Il2ra","Fjx1","Hif1a","Slc25a37","Slc25a37","Tspan3","C1s2"
"Tfcp2l1","Asxl2","Mog","Aim2","Ppme1","Gadd45g","Maoa","Homer2","Maoa","Marcksl1","Mettl1","Uck2","Rbp1","Errfi1","Mettl1","Thbs1","Uck2","Cttn","G0s2","Apol9a","Edn1","Ptprf","Ildr1","Met","Map1lc3a","Apol9a","Slc11a1","Daam2"
"Adamts2","Hmgcr","1700037C18Rik","Stat1","Gbp5","Nupr1","Ctnnal1","Rab33a","Socs1","Ppan","Nrip3","Slc25a20","Slc16a10","Stat4","Fgr","Serpinb2","Matk","Map1lc3a","Ptprf","Mrps6","F5","Crispld2","Pde4d","Pim2","Lrrc38","Serpinb7","Aqp9","Tgm2"
"Sesn1","Arid4b","Mttp","Il27","Parp3","Anxa11","Rasl10a","Cdr2l","1810010H24Rik","Matk","Plin2","Nolc1","Mmp7","Slc16a10","Trim9","Satb1","Sphk1","G0s2","Ptges","Sspn","Hopx","Cxcl13","Ptpn1","Il2ra","Slc5a3","Ptges","Traf3ip2","Gdf15"
"Pdgfd","Fbxw7","Utp20","Hapln3","Tspan3","Bok","Espnl","Ctnnal1","Ccl5","Aqp9","AA467197","AA467197","Tfrc","Serinc2","Matk","Pdk4","Phldb1","Crispld2","Eif1b","Acvr1b","Dixdc1","Gk5","Il2ra","Traf3ip2","Vnn3","Vnn3","Wsb1","Bok"
"Methig1","Gas2l3","Lyzl4","Ankrd22","Nfs1","Agrp","Acot7","Dhrs11","Ust","AA467197","Cpt1a","Mmp9","Ccl3","Tfpi","Asphd1","Serinc2","Mmp9","Ptprf","Vegfa","Adamdec1","Tsc22d1","Tnip1","G0s2","Panx2","Zswim4","Fpr2","Cldn23","Tbc1d16"
