IP_UP,IP_DOWN,ZHANG_UP,ZHANG_DOWN,BINGER_UP,BINGER_DOWN
Dusp1,Cd69,Akr1b3,Oxct1,Pld3,Gpr34
Ccl7,Clec2d,Mmp8,Scn9a,L1td1,Egr1
Tnfrsf12a,Ccrl2,Ifi44l,Depdc1a,Ints5,Trim14
Ier3,Cdc42ep2,Mx1,Depdc1b,Hk3,Dars
B230207M22Rik,Irf1,Isg15,Hjurp,Hgf,Ntan1
A630084D02Rik,Tnfaip2,Slc5a3,Cit,Cap1,Gpx7
LOC677319,Hist1h2ah,Fxyd6,Kif11,Xpo5,Ing3
Plau,Hist1h2ab,Hist1h1c,Sesn3,Rbm38,Eif4e2
Slc38a2,Irg1,Ifitm7,Cenpf,Aig1,Chst7
Gadd45g,Il1b,Fxyd2,Txndc16,Zfp148,Hist1h2ad
Ccl2,Hist1h2ad,Fxyd2,Npl,Prf1,Snrpa
LOC100048556,E130207H16Rik,Hist1h2bm,Aspm,Prss21,Vkorc1
Errfi1,Hist1h2ai,Tnc,Cdca3,Plxna2,Tesk1
Myd116,Zfp263,Hist1h2bk,Top2a,Ppp1r9b,Dmkn
Rcan1,Rp23-480b19.10,Rsad2,Sacs,Hist2h2aa1,Arntl
LOC100047934,Hist1h2ak,Oasl1,Anln,Syngr1,Pmp22
Bcl2l1,mtDNA_ND2,Oas3,Stmn1,Trove2,Ptpro
Ccnd1,Hist1h2an,Ifit3,Ckap2,Ncoa1,Cbr2
Gcnt1,Tlr2,Ifit2,Gm10282,Mitf,Hist1h3a
Dusp6,Fnbp1l,Prss35,Hmmr,Rpn1,2010005H15Rik
LOC668631,Ly78,Otof,Klf9,Eif4g1,Il21r
BC037034,Ybx3,Camp,Kif15,Trim56,Eef2k
Wsb1,5430427O19Rik,Xaf1,Rrm1,Rhov,Cops4
Sertad1,Nfkbie,Mrps6,Mboat2,Atp10a,Vdac3
Slc2a1,Zfp36,Herc6,Snx25,Cyp2s1,Ppa2
Rgs1,Trex1,Oas2,Hmgb2,E2f4,Hist1h2ak
Zfand2a,Hist2h2ac,Cmpk2,Kif20a,St8sia4,Cbl
